1592066315,"2020-06-13 16:38:35",37.379365,-6.040402
1592068634,"2020-06-13 17:17:14",37.37937,-6.0404
1592068980,"2020-06-13 17:23:00",37.379368,-6.0404
1592069285,"2020-06-13 17:28:05",37.379367,-6.040404
1592069640,"2020-06-13 17:34:00",37.379367,-6.040404
1592069940,"2020-06-13 17:39:00",37.37937,-6.040402
1592070240,"2020-06-13 17:44:00",37.37937,-6.040402
1592070590,"2020-06-13 17:49:50",37.379386,-6.040398
1592070596,"2020-06-13 17:49:56",37.379386,-6.040398
1592070900,"2020-06-13 17:55:00",37.379386,-6.040398
1592071260,"2020-06-13 18:01:00",37.379368,-6.040404
1592071620,"2020-06-13 18:07:00",37.379368,-6.040404
1592071920,"2020-06-13 18:12:00",37.379372,-6.040396
1592072117,"2020-06-13 18:15:17",37.379372,-6.040396
1592072460,"2020-06-13 18:21:00",37.379374,-6.040399
1592072760,"2020-06-13 18:26:00",37.379374,-6.040399
1592073060,"2020-06-13 18:31:00",37.379367,-6.040405
1592073420,"2020-06-13 18:37:00",37.379367,-6.040405
1592073607,"2020-06-13 18:40:07",37.379376,-6.040408
1592073960,"2020-06-13 18:46:00",37.379376,-6.040408
1592074260,"2020-06-13 18:51:00",37.379367,-6.040401
1592074306,"2020-06-13 18:51:46",37.37916,-6.039963
1592074314,"2020-06-13 18:51:54",37.379374,-6.040392
1592074442,"2020-06-13 18:54:02",37.379812,-6.040961
1592074478,"2020-06-13 18:54:38",37.379098,-6.040451
1592074518,"2020-06-13 18:55:18",37.378719,-6.040618
1592074561,"2020-06-13 18:56:01",37.378903,-6.040413
1592074562,"2020-06-13 18:56:02",37.378933,-6.040409
1592074615,"2020-06-13 18:56:55",37.379042,-6.04002
1592074658,"2020-06-13 18:57:38",37.378678,-6.039819
1592074695,"2020-06-13 18:58:15",37.37816,-6.039968
1592074737,"2020-06-13 18:58:57",37.377565,-6.040016
1592074747,"2020-06-13 18:59:07",37.377505,-6.040424
1592074780,"2020-06-13 18:59:40",37.377241,-6.040648
1592074813,"2020-06-13 19:00:13",37.376632,-6.040451
1592074847,"2020-06-13 19:00:47",37.376248,-6.040807
1592074883,"2020-06-13 19:01:23",37.375895,-6.040588
1592074937,"2020-06-13 19:02:17",37.375288,-6.040583
1592074969,"2020-06-13 19:02:49",37.374843,-6.040875
1592075000,"2020-06-13 19:03:20",37.374459,-6.040772
1592075008,"2020-06-13 19:03:28",37.374349,-6.040241
1592075061,"2020-06-13 19:04:21",37.373681,-6.040483
1592075094,"2020-06-13 19:04:54",37.373162,-6.040319
1592075126,"2020-06-13 19:05:26",37.372211,-6.041216
1592075139,"2020-06-13 19:05:39",37.372645,-6.040238
1592075188,"2020-06-13 19:06:28",37.371943,-6.040685
1592075221,"2020-06-13 19:07:01",37.371493,-6.040975
1592075240,"2020-06-13 19:07:20",37.371384,-6.040632
1592075282,"2020-06-13 19:08:02",37.370838,-6.040487
1592075344,"2020-06-13 19:09:04",37.370219,-6.040635
1592075364,"2020-06-13 19:09:24",37.369665,-6.040857
1592075409,"2020-06-13 19:10:09",37.36929,-6.040825
1592075440,"2020-06-13 19:10:40",37.368784,-6.041183
1592075463,"2020-06-13 19:11:03",37.369021,-6.041666
1592075502,"2020-06-13 19:11:42",37.368142,-6.041151
1592075585,"2020-06-13 19:13:05",37.367491,-6.0413
1592075628,"2020-06-13 19:13:48",37.366731,-6.041874
1592075668,"2020-06-13 19:14:28",37.366334,-6.041888
1592075706,"2020-06-13 19:15:06",37.365929,-6.042164
1592075752,"2020-06-13 19:15:52",37.365419,-6.043013
1592075783,"2020-06-13 19:16:23",37.365218,-6.043419
1592075815,"2020-06-13 19:16:55",37.365,-6.044319
1592075877,"2020-06-13 19:17:57",37.365287,-6.044833
1592075911,"2020-06-13 19:18:31",37.365643,-6.045157
1592075934,"2020-06-13 19:18:54",37.365958,-6.045284
1592075951,"2020-06-13 19:19:11",37.365791,-6.044863
1592076005,"2020-06-13 19:20:05",37.366269,-6.046514
1592076041,"2020-06-13 19:20:41",37.36502,-6.044918
1592076074,"2020-06-13 19:21:14",37.365931,-6.046549
1592076089,"2020-06-13 19:21:29",37.365731,-6.047677
1592076125,"2020-06-13 19:22:05",37.365869,-6.04707
1592076171,"2020-06-13 19:22:51",37.36607,-6.048943
1592076225,"2020-06-13 19:23:45",37.366468,-6.049749
1592076264,"2020-06-13 19:24:24",37.366729,-6.050322
1592076304,"2020-06-13 19:25:04",37.366901,-6.050991
1592076357,"2020-06-13 19:25:57",37.368053,-6.050119
1592076385,"2020-06-13 19:26:25",37.36716,-6.051819
1592076412,"2020-06-13 19:26:52",37.367534,-6.052596
1592076460,"2020-06-13 19:27:40",37.367809,-6.053536
1592076494,"2020-06-13 19:28:14",37.367956,-6.054216
1592076545,"2020-06-13 19:29:05",37.368241,-6.054891
1592076590,"2020-06-13 19:29:50",37.368572,-6.055593
1592076639,"2020-06-13 19:30:39",37.36896,-6.056078
1592076672,"2020-06-13 19:31:12",37.369113,-6.056851
1592076726,"2020-06-13 19:32:06",37.369288,-6.057827
1592076763,"2020-06-13 19:32:43",37.369353,-6.058382
1592076798,"2020-06-13 19:33:18",37.369531,-6.059019
1592076845,"2020-06-13 19:34:05",37.369918,-6.059694
1592076886,"2020-06-13 19:34:46",37.37061,-6.05962
1592076920,"2020-06-13 19:35:20",37.370888,-6.059098
1592076955,"2020-06-13 19:35:55",37.371376,-6.058935
1592076988,"2020-06-13 19:36:28",37.372661,-6.059948
1592077014,"2020-06-13 19:36:54",37.371761,-6.058885
1592077025,"2020-06-13 19:37:05",37.372107,-6.058723
1592077079,"2020-06-13 19:37:59",37.373493,-6.05921
1592077107,"2020-06-13 19:38:27",37.373051,-6.05833
1592077129,"2020-06-13 19:38:49",37.373567,-6.057874
1592077167,"2020-06-13 19:39:27",37.373324,-6.057179
1592077206,"2020-06-13 19:40:06",37.373216,-6.056311
1592077297,"2020-06-13 19:41:37",37.372794,-6.055151
1592077332,"2020-06-13 19:42:12",37.372784,-6.054539
1592077358,"2020-06-13 19:42:38",37.372607,-6.054138
1592077421,"2020-06-13 19:43:41",37.372569,-6.053352
1592077452,"2020-06-13 19:44:12",37.37301,-6.053393
1592077484,"2020-06-13 19:44:44",37.373399,-6.053521
1592077501,"2020-06-13 19:45:01",37.373798,-6.053619
1592077548,"2020-06-13 19:45:48",37.374696,-6.053192
1592077564,"2020-06-13 19:46:04",37.374443,-6.053432
1592077611,"2020-06-13 19:46:51",37.37481,-6.052874
1592077643,"2020-06-13 19:47:23",37.375218,-6.052697
1592077675,"2020-06-13 19:47:55",37.375533,-6.052507
1592077706,"2020-06-13 19:48:26",37.375959,-6.052494
1592077737,"2020-06-13 19:48:57",37.376429,-6.052378
1592077778,"2020-06-13 19:49:38",37.376947,-6.052541
1592077833,"2020-06-13 19:50:33",37.377702,-6.052922
1592077844,"2020-06-13 19:50:44",37.377569,-6.052468
1592077852,"2020-06-13 19:50:52",37.377786,-6.052782
1592077893,"2020-06-13 19:51:33",37.37822,-6.053007
1592077924,"2020-06-13 19:52:04",37.378592,-6.053027
1592077955,"2020-06-13 19:52:35",37.378711,-6.052566
1592077985,"2020-06-13 19:53:05",37.378932,-6.05219
1592078016,"2020-06-13 19:53:36",37.379352,-6.051754
1592078044,"2020-06-13 19:54:04",37.37959,-6.051506
1592078078,"2020-06-13 19:54:38",37.380117,-6.051244
1592078109,"2020-06-13 19:55:09",37.38072,-6.05117
1592078140,"2020-06-13 19:55:40",37.380522,-6.050546
1592078161,"2020-06-13 19:56:01",37.380322,-6.050233
1592078203,"2020-06-13 19:56:43",37.380094,-6.049655
1592078237,"2020-06-13 19:57:17",37.379793,-6.049125
1592078273,"2020-06-13 19:57:53",37.379624,-6.048451
1592078308,"2020-06-13 19:58:28",37.379582,-6.048001
1592078316,"2020-06-13 19:58:36",37.379293,-6.0476
1592078368,"2020-06-13 19:59:28",37.379812,-6.047373
1592078408,"2020-06-13 20:00:08",37.380319,-6.046993
1592078444,"2020-06-13 20:00:44",37.380467,-6.046624
1592078478,"2020-06-13 20:01:18",37.380277,-6.046047
1592078509,"2020-06-13 20:01:49",37.380492,-6.045768
1592078524,"2020-06-13 20:02:04",37.380748,-6.045378
1592078571,"2020-06-13 20:02:51",37.380719,-6.044569
1592078604,"2020-06-13 20:03:24",37.380597,-6.04423
1592078638,"2020-06-13 20:03:58",37.380179,-6.043603
1592078671,"2020-06-13 20:04:31",37.380312,-6.043106
1592078705,"2020-06-13 20:05:05",37.379936,-6.042522
1592078736,"2020-06-13 20:05:36",37.379937,-6.042177
1592078786,"2020-06-13 20:06:26",37.379617,-6.041449
1592078826,"2020-06-13 20:07:06",37.379258,-6.04074
1592078926,"2020-06-13 20:08:46",37.37938,-6.040434
1592078959,"2020-06-13 20:09:19",37.380087,-6.04134
1592079004,"2020-06-13 20:10:04",37.378863,-6.040259
1592079057,"2020-06-13 20:10:57",37.380118,-6.042746
1592079063,"2020-06-13 20:11:03",37.379861,-6.041852
1592079071,"2020-06-13 20:11:11",37.379452,-6.040737
1592079104,"2020-06-13 20:11:44",37.379748,-6.041786
1592079110,"2020-06-13 20:11:50",37.379375,-6.040423
